;;;;;;;;;;;;;x
return_cores_REU_title;Return cores to Reuss ;;;;;;;;;;;;x,,
return_cores_REU_desc;We hold provinces that Reuss has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SWG_title;Return cores to Schwarzburg ;;;;;;;;;;;;x,,
return_cores_SWG_desc;We hold provinces that Schwarzburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WLD_title;Return cores to Waldeck ;;;;;;;;;;;;x,,
return_cores_WLD_desc;We hold provinces that Waldeck has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IMG_title;Return cores to Inner Mongolia ;;;;;;;;;;;;x,,
return_cores_IMG_desc;We hold provinces that Inner Mongolia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GUI_title;Return cores to Guizhou ;;;;;;;;;;;;x,,
return_cores_GUI_desc;We hold provinces that Guizhou has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LEG_title;Return cores to Legation Cities ;;;;;;;;;;;;x,,
return_cores_LEG_desc;We hold provinces that Legation Cities has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NIA_title;Return cores to Nian ;;;;;;;;;;;;x,,
return_cores_NIA_desc;We hold provinces that Nian has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MIT_title;Return cores to Mittelafrika ;;;;;;;;;;;;x,,
return_cores_MIT_desc;We hold provinces that Mittelafrika has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AOG_title;Return cores to AOG ;;;;;;;;;;;;x,,
return_cores_AOG_desc;We hold provinces that AOG has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SDB_title;Return cores to Sonderbund ;;;;;;;;;;;;x,,
return_cores_SDB_desc;We hold provinces that Sonderbund has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRB_title;Return cores to Caribbean Federation ;;;;;;;;;;;;x,,
return_cores_CRB_desc;We hold provinces that Caribbean Federation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WSF_title;Return cores to Zapadoslavia ;;;;;;;;;;;;x,,
return_cores_WSF_desc;We hold provinces that Zapadoslavia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANT_title;Return cores to Anatolia ;;;;;;;;;;;;x,,
return_cores_ANT_desc;We hold provinces that Anatolia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RUM_title;Return cores to Eastern Rumelia ;;;;;;;;;;;;x,,
return_cores_RUM_desc;We hold provinces that Eastern Rumelia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SAM_title;Return cores to Samos ;;;;;;;;;;;;x,,
return_cores_SAM_desc;We hold provinces that Samos has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_URP_title;Return cores to United Principalities ;;;;;;;;;;;;x,,
return_cores_URP_desc;We hold provinces that United Principalities has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GCF_title;Return cores to German Confederation ;;;;;;;;;;;;x,,
return_cores_GCF_desc;We hold provinces that German Confederation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VLG_title;Return cores to Volga ;;;;;;;;;;;;x,,
return_cores_VLG_desc;We hold provinces that Volga has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SMR_title;Return cores to San Marino ;;;;;;;;;;;;x,,
return_cores_SMR_desc;We hold provinces that San Marino has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SAA_title;Return cores to Saar ;;;;;;;;;;;;x,,
return_cores_SAA_desc;We hold provinces that Saar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LAU_title;Return cores to Lauenburg ;;;;;;;;;;;;x,,
return_cores_LAU_desc;We hold provinces that Lauenburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MML_title;Return cores to Memelland ;;;;;;;;;;;;x,,
return_cores_MML_desc;We hold provinces that Memelland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HQJ_title;Return cores to Black Flag ;;;;;;;;;;;;x,,
return_cores_HQJ_desc;We hold provinces that Black Flag has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TST_title;Return cores to South Tirol ;;;;;;;;;;;;x,,
return_cores_TST_desc;We hold provinces that South Tirol has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HGL_title;Return cores to Heligoland ;;;;;;;;;;;;x,,
return_cores_HGL_desc;We hold provinces that Heligoland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MSK_title;Return cores to Mosquito Coast ;;;;;;;;;;;;x,,
return_cores_MSK_desc;We hold provinces that Mosquito Coast has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MAU_title;Return cores to Mauritius ;;;;;;;;;;;;x,,
return_cores_MAU_desc;We hold provinces that Mauritius has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SEY_title;Return cores to Seychelles ;;;;;;;;;;;;x,,
return_cores_SEY_desc;We hold provinces that Seychelles has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IOT_title;Return cores to Indian Ocean Territory ;;;;;;;;;;;;x,,
return_cores_IOT_desc;We hold provinces that Indian Ocean Territory has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SGP_title;Return cores to Singapore ;;;;;;;;;;;;x,,
return_cores_SGP_desc;We hold provinces that Singapore has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MTQ_title;Return cores to Martinique ;;;;;;;;;;;;x,,
return_cores_MTQ_desc;We hold provinces that Martinique has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SVA_title;Return cores to Svaneti ;;;;;;;;;;;;x,,
return_cores_SVA_desc;We hold provinces that Svaneti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MIG_title;Return cores to Mingrelia ;;;;;;;;;;;;x,,
return_cores_MIG_desc;We hold provinces that Mingrelia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CHH_title;Return cores to Chhatarpur ;;;;;;;;;;;;x,,
return_cores_CHH_desc;We hold provinces that Chhatarpur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_REW_title;Return cores to Rewah ;;;;;;;;;;;;x,,
return_cores_REW_desc;We hold provinces that Rewah has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GEN_title;Return cores to Genoa ;;;;;;;;;;;;x,,
return_cores_GEN_desc;We hold provinces that Genoa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CGC_title;Return cores to Colonial Chile ;;;;;;;;;;;;x,,
return_cores_CGC_desc;We hold provinces that Colonial Chile has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VNG_title;Return cores to Colonial Colombia ;;;;;;;;;;;;x,,
return_cores_VNG_desc;We hold provinces that Colonial Colombia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VLP_title;Return cores to Colonial La Plata ;;;;;;;;;;;;x,,
return_cores_VLP_desc;We hold provinces that Colonial La Plata has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VOP_title;Return cores to Colonial Peru ;;;;;;;;;;;;x,,
return_cores_VOP_desc;We hold provinces that Colonial Peru has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VNS_title;Return cores to Colonial Spain ;;;;;;;;;;;;x,,
return_cores_VNS_desc;We hold provinces that Colonial Spain has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATC_title;Return cores to Antillean Confederation ;;;;;;;;;;;;x,,
return_cores_ATC_desc;We hold provinces that Antillean Confederation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ZOU_title;Return cores to Zoutpansberg ;;;;;;;;;;;;x,,
return_cores_ZOU_desc;We hold provinces that Zoutpansberg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VLK_title;Return cores to Volkstaat ;;;;;;;;;;;;x,,
return_cores_VLK_desc;We hold provinces that Volkstaat has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MNP_title;Return cores to Manipur ;;;;;;;;;;;;x,,
return_cores_MNP_desc;We hold provinces that Manipur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BDK_title;Return cores to Badakhshan ;;;;;;;;;;;;x,,
return_cores_BDK_desc;We hold provinces that Badakhshan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PGG_title;Return cores to Pingnan Guo ;;;;;;;;;;;;x,,
return_cores_PGG_desc;We hold provinces that Pingnan Guo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SGM_title;Return cores to Sigmaringen ;;;;;;;;;;;;x,,
return_cores_SGM_desc;We hold provinces that Sigmaringen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NMB_title;Return cores to Namibia ;;;;;;;;;;;;x,,
return_cores_NMB_desc;We hold provinces that Namibia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TMR_title;Return cores to Timor ;;;;;;;;;;;;x,,
return_cores_TMR_desc;We hold provinces that Timor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SLG_title;Return cores to Selangor ;;;;;;;;;;;;x,,
return_cores_SLG_desc;We hold provinces that Selangor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRK_title;Return cores to Perak ;;;;;;;;;;;;x,,
return_cores_PRK_desc;We hold provinces that Perak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PHG_title;Return cores to Pahang ;;;;;;;;;;;;x,,
return_cores_PHG_desc;We hold provinces that Pahang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FRO_title;Return cores to Faroe ;;;;;;;;;;;;x,,
return_cores_FRO_desc;We hold provinces that Faroe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NCT_title;Return cores to Neuchatel ;;;;;;;;;;;;x,,
return_cores_NCT_desc;We hold provinces that Neuchatel has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HBY_title;Return cores to Hobyo ;;;;;;;;;;;;x,,
return_cores_HBY_desc;We hold provinces that Hobyo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_QAT_title;Return cores to Qatar ;;;;;;;;;;;;x,,
return_cores_QAT_desc;We hold provinces that Qatar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRY_title;Return cores to Buryatia ;;;;;;;;;;;;x,,
return_cores_BRY_desc;We hold provinces that Buryatia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MLD_title;Return cores to Maldives ;;;;;;;;;;;;x,,
return_cores_MLD_desc;We hold provinces that Maldives has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KAR_title;Return cores to Karen ;;;;;;;;;;;;x,,
return_cores_KAR_desc;We hold provinces that Karen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PAK_title;Return cores to Pakistan ;;;;;;;;;;;;x,,
return_cores_PAK_desc;We hold provinces that Pakistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRL_title;Return cores to Chitral ;;;;;;;;;;;;x,,
return_cores_CRL_desc;We hold provinces that Chitral has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RDL_title;Return cores to Ardalan ;;;;;;;;;;;;x,,
return_cores_RDL_desc;We hold provinces that Ardalan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BTL_title;Return cores to Bitlis ;;;;;;;;;;;;x,,
return_cores_BTL_desc;We hold provinces that Bitlis has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BDN_title;Return cores to Bahdinan ;;;;;;;;;;;;x,,
return_cores_BDN_desc;We hold provinces that Bahdinan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BNB_title;Return cores to Baban ;;;;;;;;;;;;x,,
return_cores_BNB_desc;We hold provinces that Baban has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MKN_title;Return cores to Mukriyan ;;;;;;;;;;;;x,,
return_cores_MKN_desc;We hold provinces that Mukriyan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BHT_title;Return cores to Bohtan ;;;;;;;;;;;;x,,
return_cores_BHT_desc;We hold provinces that Bohtan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SRN_title;Return cores to Soran ;;;;;;;;;;;;x,,
return_cores_SRN_desc;We hold provinces that Soran has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LBG_title;Return cores to Limburg ;;;;;;;;;;;;x,,
return_cores_LBG_desc;We hold provinces that Limburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PNB_title;Return cores to Pernambuco ;;;;;;;;;;;;x,,
return_cores_PNB_desc;We hold provinces that Pernambuco has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FIU_title;Return cores to Fiume ;;;;;;;;;;;;x,,
return_cores_FIU_desc;We hold provinces that Fiume has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SYC_title;Return cores to Sicily ;;;;;;;;;;;;x,,
return_cores_SYC_desc;We hold provinces that Sicily has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MDV_title;Return cores to Moldova ;;;;;;;;;;;;x,,
return_cores_MDV_desc;We hold provinces that Moldova has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABK_title;Return cores to Abkhazia ;;;;;;;;;;;;x,,
return_cores_ABK_desc;We hold provinces that Abkhazia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRT_title;Return cores to Corrientes ;;;;;;;;;;;;x,,
return_cores_CRT_desc;We hold provinces that Corrientes has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SBA_title;Return cores to Buenos Aires ;;;;;;;;;;;;x,,
return_cores_SBA_desc;We hold provinces that Buenos Aires has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARC_title;Return cores to Argentine Conf ;;;;;;;;;;;;x,,
return_cores_ARC_desc;We hold provinces that Argentine Conf has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LHJ_title;Return cores to Lahej ;;;;;;;;;;;;x,,
return_cores_LHJ_desc;We hold provinces that Lahej has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FDL_title;Return cores to Fadhli ;;;;;;;;;;;;x,,
return_cores_FDL_desc;We hold provinces that Fadhli has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KTH_title;Return cores to Kathiri ;;;;;;;;;;;;x,,
return_cores_KTH_desc;We hold provinces that Kathiri has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MHR_title;Return cores to Mahra ;;;;;;;;;;;;x,,
return_cores_MHR_desc;We hold provinces that Mahra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KML_title;Return cores to Kumul ;;;;;;;;;;;;x,,
return_cores_KML_desc;We hold provinces that Kumul has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SHK_title;Return cores to Shilluk ;;;;;;;;;;;;x,,
return_cores_SHK_desc;We hold provinces that Shilluk has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WRL_title;Return cores to Warsangali ;;;;;;;;;;;;x,,
return_cores_WRL_desc;We hold provinces that Warsangali has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BHP_title;Return cores to Bahawalpur ;;;;;;;;;;;;x,,
return_cores_BHP_desc;We hold provinces that Bahawalpur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_EZO_title;Return cores to Ezo ;;;;;;;;;;;;x,,
return_cores_EZO_desc;We hold provinces that Ezo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CHY_title;Return cores to Chechnya ;;;;;;;;;;;;x,,
return_cores_CHY_desc;We hold provinces that Chechnya has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CHK_title;Return cores to Champasak ;;;;;;;;;;;;x,,
return_cores_CHK_desc;We hold provinces that Champasak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_QNG_title;Return cores to Qing China ;;;;;;;;;;;;x,,
return_cores_QNG_desc;We hold provinces that Qing China has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MGH_title;Return cores to Maghreb ;;;;;;;;;;;;x,,
return_cores_MGH_desc;We hold provinces that Maghreb has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAH_title;Return cores to Bahia ;;;;;;;;;;;;x,,
return_cores_BAH_desc;We hold provinces that Bahia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CHP_title;Return cores to Chiapas ;;;;;;;;;;;;x,,
return_cores_CHP_desc;We hold provinces that Chiapas has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CEQ_title;Return cores to Equador Confederation ;;;;;;;;;;;;x,,
return_cores_CEQ_desc;We hold provinces that Equador Confederation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ENT_title;Return cores to Entre Rios ;;;;;;;;;;;;x,,
return_cores_ENT_desc;We hold provinces that Entre Rios has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GCO_title;Return cores to Gran Colombia ;;;;;;;;;;;;x,,
return_cores_GCO_desc;We hold provinces that Gran Colombia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GUY_title;Return cores to Guyana ;;;;;;;;;;;;x,,
return_cores_GUY_desc;We hold provinces that Guyana has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LOS_title;Return cores to Los Altos ;;;;;;;;;;;;x,,
return_cores_LOS_desc;We hold provinces that Los Altos has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LPL_title;Return cores to La Plata ;;;;;;;;;;;;x,,
return_cores_LPL_desc;We hold provinces that La Plata has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PBC_title;Return cores to Peru-Bolivia Confederation ;;;;;;;;;;;;x,,
return_cores_PBC_desc;We hold provinces that Peru-Bolivia Confederation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PTG_title;Return cores to Patagonia ;;;;;;;;;;;;x,,
return_cores_PTG_desc;We hold provinces that Patagonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RGR_title;Return cores to Rio Grande ;;;;;;;;;;;;x,,
return_cores_RGR_desc;We hold provinces that Rio Grande has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RGS_title;Return cores to Rio Grande do Sul ;;;;;;;;;;;;x,,
return_cores_RGS_desc;We hold provinces that Rio Grande do Sul has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SON_title;Return cores to Sonora ;;;;;;;;;;;;x,,
return_cores_SON_desc;We hold provinces that Sonora has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SPU_title;Return cores to South Peru ;;;;;;;;;;;;x,,
return_cores_SPU_desc;We hold provinces that South Peru has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_YUC_title;Return cores to Yucatan ;;;;;;;;;;;;x,,
return_cores_YUC_desc;We hold provinces that Yucatan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BLZ_title;Return cores to Belize ;;;;;;;;;;;;x,,
return_cores_BLZ_desc;We hold provinces that Belize has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DAK_title;Return cores to Dakota ;;;;;;;;;;;;x,,
return_cores_DAK_desc;We hold provinces that Dakota has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FSA_title;Return cores to Free States of America ;;;;;;;;;;;;x,,
return_cores_FSA_desc;We hold provinces that Free States of America has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GRN_title;Return cores to Greenland ;;;;;;;;;;;;x,,
return_cores_GRN_desc;We hold provinces that Greenland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JAM_title;Return cores to Jamaica ;;;;;;;;;;;;x,,
return_cores_JAM_desc;We hold provinces that Jamaica has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LSK_title;Return cores to Alaska ;;;;;;;;;;;;x,,
return_cores_LSK_desc;We hold provinces that Alaska has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MRU_title;Return cores to Maritime Union ;;;;;;;;;;;;x,,
return_cores_MRU_desc;We hold provinces that Maritime Union has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRI_title;Return cores to Puerto Rico ;;;;;;;;;;;;x,,
return_cores_PRI_desc;We hold provinces that Puerto Rico has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RPL_title;Return cores to Rupert's Land ;;;;;;;;;;;;x,,
return_cores_RPL_desc;We hold provinces that Rupert's Land has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TTB_title;Return cores to Trinidad ;;;;;;;;;;;;x,,
return_cores_TTB_desc;We hold provinces that Trinidad has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UIL_title;Return cores to Illinois ;;;;;;;;;;;;x,,
return_cores_UIL_desc;We hold provinces that Illinois has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UNB_title;Return cores to Nebraska ;;;;;;;;;;;;x,,
return_cores_UNB_desc;We hold provinces that Nebraska has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UNM_title;Return cores to New Mexico ;;;;;;;;;;;;x,,
return_cores_UNM_desc;We hold provinces that New Mexico has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UOR_title;Return cores to Oregon ;;;;;;;;;;;;x,,
return_cores_UOR_desc;We hold provinces that Oregon has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALS_title;Return cores to Elsass ;;;;;;;;;;;;x,,
return_cores_ALS_desc;We hold provinces that Elsass has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATR_title;Return cores to Asturias ;;;;;;;;;;;;x,,
return_cores_ATR_desc;We hold provinces that Asturias has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAN_title;Return cores to Banat ;;;;;;;;;;;;x,,
return_cores_BAN_desc;We hold provinces that Banat has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BKV_title;Return cores to Bukovina ;;;;;;;;;;;;x,,
return_cores_BKV_desc;We hold provinces that Bukovina has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRT_title;Return cores to Brittany ;;;;;;;;;;;;x,,
return_cores_BRT_desc;We hold provinces that Brittany has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BSQ_title;Return cores to Basqueland ;;;;;;;;;;;;x,,
return_cores_BSQ_desc;We hold provinces that Basqueland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRS_title;Return cores to Corsica ;;;;;;;;;;;;x,,
return_cores_CRS_desc;We hold provinces that Corsica has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DLM_title;Return cores to Dalmatia ;;;;;;;;;;;;x,,
return_cores_DLM_desc;We hold provinces that Dalmatia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ENL_title;Return cores to England ;;;;;;;;;;;;x,,
return_cores_ENL_desc;We hold provinces that England has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GLC_title;Return cores to Galicia ;;;;;;;;;;;;x,,
return_cores_GLC_desc;We hold provinces that Galicia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
